# frequency, power_density
6.142921322820338759e+01 5.648660900035049082e+01
6.166556639627871306e+01 7.859582474980832956e+01
6.190191956435403853e+01 4.625812825360556602e+00
6.213827273242936400e+01 6.091244851078690203e+01
6.237462590050470368e+01 1.279592285472785420e+02
6.261097906858002915e+01 1.029914742198728277e+02
6.284733223665536173e+01 5.663108614926888862e+01
6.308368540473068720e+01 1.510446575228841626e+00
6.332003857280602688e+01 6.106869114220781825e+01
6.355639174088135235e+01 7.389403990037489223e+01
6.379274490895667782e+01 1.246333285953146373e+02
6.402909807703200329e+01 1.384749812695504261e+02
6.426545124510734297e+01 1.217425849115176995e+01
6.450180441318266844e+01 1.117448947611678811e+01
6.473815758125799391e+01 1.312400074187828203e+01
6.497451074933331938e+01 1.244422271726342721e+01
6.521086391740865906e+01 7.760890465151582873e+01
6.544721708548398453e+01 1.051223621056926589e+02
6.568357025355931000e+01 7.941913844821908697e+01
6.591992342163463547e+01 6.187992284447312841e+01
6.615627658970997516e+01 2.193864598122740261e+01
6.639262975778530063e+01 1.161292680357179741e+01
6.662898292586062610e+01 4.439904142451711522e+01
6.686533609393595157e+01 9.377246314001389749e+01
6.710168926201129125e+01 9.122389282691425461e-01
6.733804243008661672e+01 5.638286151072621522e+01
6.757439559816195640e+01 2.617402145224656351e+01
6.781074876623728187e+01 2.481756739629546349e+00
6.804710193431262155e+01 4.812111980683816626e+01
6.828345510238794702e+01 8.315416471473282911e+01
6.851980827046327249e+01 3.377152809671385825e+01
6.875616143853859796e+01 4.131205367880597379e+01
6.899251460661393764e+01 1.634813015638182776e+02
6.922886777468926311e+01 1.426093965238189867e+02
6.946522094276458859e+01 1.109373957653074783e+00
6.970157411083991406e+01 2.809956740921788310e+01
6.993792727891525374e+01 1.897957722826776816e+01
7.017428044699057921e+01 5.121915180610895391e+01
7.041063361506590468e+01 3.692000322835738046e+01
7.064698678314123015e+01 7.010171018544919264e+01
7.088333995121656983e+01 3.218432074803348542e+01
7.111969311929189530e+01 7.886395078010261628e+00
7.135604628736722077e+01 7.980642622226248761e+01
7.159239945544254624e+01 1.133086743990932810e+01
7.182875262351788592e+01 5.561666943361402105e+01
7.206510579159321139e+01 3.926438161137021865e+01
7.230145895966853686e+01 1.285667244962025961e+02
7.253781212774386233e+01 2.110941592956385193e+02
7.277416529581920202e+01 4.682468137851085288e+01
7.301051846389452749e+01 2.460453366641424111e+00
7.324687163196985296e+01 4.756828929269993012e+00
7.348322480004517843e+01 7.054766140746244751e+00
7.371957796812051811e+01 2.822212465915412949e+01
7.395593113619584358e+01 7.685767845710859092e+01
7.419228430427116905e+01 6.486129474736716816e+01
7.442863747234650873e+01 2.183489387888537436e+01
7.466499064042184841e+01 1.012972151970241974e+01
7.490134380849717388e+01 2.003100428433308977e+01
7.513769697657249935e+01 7.010825198755254917e+01
7.537405014464782482e+01 4.456834709443132425e+01
7.561040331272316450e+01 1.998964129385939970e+01
7.584675648079848997e+01 1.490337146076230646e+01
7.608310964887381544e+01 1.607874717285701038e+01
7.631946281694914092e+01 3.405582080346069063e+01
7.655581598502448060e+01 5.578776464173004968e+01
7.679216915309980607e+01 1.650083666751048028e+01
7.702852232117513154e+01 1.629909524895082598e+02
7.726487548925045701e+01 1.987898251777301937e+02
7.750122865732579669e+01 1.458756775056477295e+02
7.773758182540112216e+01 1.664246960048434403e+02
7.797393499347644763e+01 2.622798859600760224e+01
7.821028816155177310e+01 1.503033663523506789e+02
7.844664132962711278e+01 9.907973308011902702e+01
7.868299449770243825e+01 2.127200905841507605e+01
7.891934766577776372e+01 2.355644762965292571e+01
7.915570083385308919e+01 7.536714557325834107e+01
7.939205400192842887e+01 6.113580313880127903e+01
7.962840717000375435e+01 5.493847456516470551e+00
7.986476033807907982e+01 8.352542210941250289e+01
8.010111350615440529e+01 2.636224875783268544e+02
8.033746667422974497e+01 1.153805009438567311e+02
8.057381984230507044e+01 5.106290948779263061e+01
8.081017301038039591e+01 2.548720419927612113e+02
8.104652617845573559e+01 8.565362765701631531e+01
8.128287934653107527e+01 1.552110456696246388e+02
8.151923251460640074e+01 1.320051262399486234e+02
8.175558568268172621e+01 6.830477177034624958e+01
8.199193885075705168e+01 1.744095502252220058e+02
8.222829201883239136e+01 7.218636215209517104e+01
8.246464518690771683e+01 4.037733207900972587e+01
8.270099835498304230e+01 1.241128555604608295e+02
8.293735152305836777e+01 8.794146771560059506e+01
8.317370469113370746e+01 2.951947777376481596e+01
8.341005785920903293e+01 6.827474541140253983e+00
8.364641102728435840e+01 4.723125976666818104e+00
8.388276419535968387e+01 5.475244449070908814e+01
8.411911736343502355e+01 1.219180922503848841e+01
8.435547053151034902e+01 1.267122240187697741e+02
8.459182369958567449e+01 9.836239060250048283e+01
8.482817686766099996e+01 2.748924985532432252e+00
8.506453003573633964e+01 8.277016545059403541e+00
8.530088320381166511e+01 1.236349148410292003e+02
8.553723637188699058e+01 7.195902063242137103e+01
8.577358953996231605e+01 6.178589305434125833e+01
8.600994270803764152e+01 2.217674062753095754e+01
8.624629587611298120e+01 1.301329288298667279e+02
8.648264904418830668e+01 2.122103684502558352e+01
8.671900221226363215e+01 9.020325559878673971e+01
8.695535538033897183e+01 1.849895858522571146e+01
8.719170854841429730e+01 6.651973279932177263e+01
8.742806171648962277e+01 4.879247865717268695e+01
8.766441488456496245e+01 2.882935584920976524e+01
8.790076805264028792e+01 4.428783019634134632e+01
8.813712122071562760e+01 5.604879972558071444e+01
8.837347438879095307e+01 3.037290276855211602e+01
8.860982755686627854e+01 5.065181996366141526e+00
8.884618072494161822e+01 3.727786312870961183e+01
8.908253389301694369e+01 5.399209083487175320e+01
8.931888706109226916e+01 7.041772647814495656e+01
8.955524022916759463e+01 7.973446321321502239e+01
8.979159339724292010e+01 7.467989504809820289e+01
9.002794656531825979e+01 3.853373719661483676e+01
9.026429973339358526e+01 1.291098413949961099e+01
9.050065290146891073e+01 7.469925221571860341e+00
9.073700606954425041e+01 6.349298779306824514e+01
9.097335923761957588e+01 1.752097160461285341e+01
9.120971240569490135e+01 2.685532418643693120e+01
9.144606557377022682e+01 2.351351942806602580e+01
9.168241874184555229e+01 2.851697344045338767e+01
9.191877190992089197e+01 4.046005667070895129e+01
9.215512507799621744e+01 1.814964199354520602e+01
9.239147824607154291e+01 1.358183633210268937e+01
9.262783141414688259e+01 1.254369150411899447e+01
9.286418458222220806e+01 2.669606592131230727e+01
9.310053775029753353e+01 6.961113458067287318e+00
9.333689091837285901e+01 1.388243585874939123e+00
9.357324408644818448e+01 3.935642698842979570e+00
9.380959725452352416e+01 1.955204511558027036e+01
9.404595042259884963e+01 1.488867096424928071e+01
9.428230359067418931e+01 2.299212137809035283e+01
9.451865675874952899e+01 1.621357908068578624e+01
9.475500992682485446e+01 2.571399839632452000e+01
9.499136309490017993e+01 2.825690871168051288e+01
9.522771626297550540e+01 7.930892882149183265e+01
9.546406943105083087e+01 9.466470639322439240e+01
9.570042259912617055e+01 1.475734052772602567e+01
9.593677576720149602e+01 3.477687364526588709e+01
9.617312893527682149e+01 1.101298950460010673e+01
9.640948210335216118e+01 1.353764022248644316e+01
9.664583527142748665e+01 6.612532190416236233e+01
9.688218843950281212e+01 4.886730896341469332e+01
9.711854160757813759e+01 1.048348564175632802e+01
9.735489477565346306e+01 7.655898750482126758e+00
9.759124794372880274e+01 7.118394159495504248e+00
9.782760111180412821e+01 7.070717320093379277e-01
