# frequency, psd_without_bg
1.146086760451525350e+02 6.684045007928486326e-01
1.148450292132278605e+02 5.331858447136148538e-01
1.150813823813031860e+02 2.507527000758816627e+00
1.153177355493785257e+02 1.739822341533575623e+00
1.155540887174538511e+02 7.335249819429608131e-02
1.157904418855291766e+02 6.016111419026857199e-01
1.160267950536045021e+02 8.824931761318327572e-02
1.162631482216798275e+02 5.966288493393485659e-01
1.164995013897551672e+02 2.472752243832776919e+00
1.167358545578304927e+02 3.719988514265693880e+00
1.169722077259058182e+02 5.205146054045435289e-01
1.172085608939811578e+02 1.221782740790638311e+00
1.174449140620564833e+02 5.623351244760995682e-01
1.176812672301318088e+02 2.955640668592233733e-01
1.179176203982071343e+02 8.493156096196667892e-01
1.181539735662824597e+02 2.066538558431263883e+00
1.183903267343577994e+02 1.420543784601478732e-01
1.186266799024331249e+02 5.107876071891864767e-01
1.188630330705084504e+02 2.389593297809102512e-01
1.190993862385837900e+02 2.024330879064314193e+00
1.193357394066591155e+02 2.771258249268070961e-01
1.195720925747344410e+02 2.181384302611917292e+00
1.198084457428097664e+02 3.600580579765383593e+00
1.200447989108850919e+02 4.592395849878106340e+00
1.202811520789604316e+02 1.716851276801621085e+00
1.205175052470357571e+02 2.767698892601146432e-01
1.207538584151110825e+02 1.672907869739412190e+00
1.209902115831864222e+02 1.336894425275628517e+00
1.212265647512617619e+02 4.947277927270794101e-02
1.214629179193370874e+02 7.145436376253367916e-01
1.216992710874124128e+02 6.256705662722443773e-01
1.219356242554877383e+02 2.426155732230109718e-01
1.221719774235630922e+02 4.921581623460362653e-01
1.224083305916384177e+02 1.495271364506914669e+00
1.226446837597137431e+02 1.787466512740895297e+00
1.228810369277890686e+02 2.399193023404550651e+00
1.231173900958643941e+02 5.405076526040604179e-01
1.233537432639397196e+02 3.399901447009586741e-01
1.235900964320150450e+02 9.616706769553563516e-01
1.238264496000903705e+02 2.649851414270455230e+00
1.240628027681657244e+02 7.641071299347861334e-01
1.242991559362410499e+02 5.812499625736294862e-01
1.245355091043163753e+02 1.613796988579692046e-02
1.247718622723917008e+02 2.095729744787967253e+00
1.250082154404670263e+02 9.155781275473331426e-01
1.252445686085423517e+02 1.426129240588100977e+00
1.254809217766176772e+02 4.182226882082590969e+00
